0, 0.7436, 334
1, 0.1364, 281
2, 0.2882, 118
3, 0.3506, 184
4, 0.0347, 105
5, 0.2318, 280
6, 0.3488, 273
7, 0.1702, 246
8, 0.2963, 17
9, 0.1763, 161
10, 0.8777, 364
11, 0.2952, 117
12, 0.2945, 338
13, 0.7749, 202
14, 0.0807, 63
15, 0.7879, 294
16, 0.7936, 55
17, 0.9984, 187
18, 0.4342, 212
19, 0.3915, 42
20, 0.4523, 312
21, 0.2409, 248
22, 0.2582, 136
23, 0.1824, 94
24, 0.8893, 278
25, 0.7064, 218
26, 0.7628, 59
27, 0.9611, 230
28, 0.4946, 357
29, 0.1851, 19
30, 0.7334, 174
31, 0.9431, 252
32, 0.5111, 242
33, 0.9713, 112
34, 0.1793, 230
35, 0.0661, 37
36, 0.8080, 306
37, 0.2322, 276
38, 0.3118, 9
39, 0.6640, 115
40, 0.6297, 68
41, 0.6067, 42
42, 0.7041, 306
43, 0.8882, 107
44, 0.5572, 234
45, 0.7761, 111
46, 0.0730, 9
47, 0.1932, 189
48, 0.6090, 5
49, 0.2216, 58
50, 0.8593, 292
51, 0.4518, 332
52, 0.2400, 201
53, 0.7959, 253
54, 0.1947, 306
55, 0.0216, 2
56, 0.0543, 227
57, 0.1372, 127
58, 0.4160, 21
59, 0.3888, 25
60, 0.3368, 24
61, 0.8404, 305
62, 0.4219, 287
63, 0.5644, 173
64, 0.3923, 4
65, 0.7474, 45
66, 0.1015, 150
67, 0.3397, 297
68, 0.0425, 286
69, 0.7528, 150
70, 0.4575, 201
71, 0.3687, 259
72, 0.9281, 6
73, 0.0213, 331
74, 0.3422, 14
75, 0.9133, 114
76, 0.4460, 214
77, 0.5153, 97
78, 0.4984, 230
79, 0.2239, 270
80, 0.4278, 86
81, 0.0122, 289
82, 0.1812, 332
83, 0.1289, 244
84, 0.4374, 231
85, 0.1137, 122
86, 0.2824, 31
87, 0.2700, 362
88, 0.5671, 234
89, 0.8961, 218
90, 0.4024, 238
91, 0.5245, 172
92, 0.5424, 304
93, 0.6606, 46
94, 0.2568, 151
95, 0.1549, 271
96, 0.2558, 215
97, 0.1558, 20
98, 0.9016, 129
99, 0.6187, 318
100, 0.1325, 352
101, 0.0534, 362
102, 0.9212, 57
103, 0.3948, 312
104, 0.7694, 124
105, 0.7286, 218
106, 0.0486, 234
107, 0.4929, 44
108, 0.5377, 55
109, 0.4894, 288
110, 0.4345, 162
111, 0.0628, 201
112, 0.2424, 312
113, 0.7013, 167
114, 0.8981, 326
115, 0.9552, 126
116, 0.8336, 24
117, 0.4107, 77
118, 0.8693, 0
119, 0.3411, 68
120, 0.2786, 54
121, 0.7462, 167
122, 0.9333, 137
123, 0.0572, 64
124, 0.2298, 336
125, 0.5169, 226
126, 0.4001, 286
127, 0.1385, 159
128, 0.5978, 231
129, 0.5726, 72
130, 0.2863, 127
131, 0.1660, 142
132, 0.5543, 27
133, 0.9746, 365
134, 0.2037, 77
135, 0.3172, 330
136, 0.7315, 102
137, 0.0175, 33
138, 0.4000, 318
139, 0.2363, 33
140, 0.2347, 278
141, 0.9519, 141
142, 0.7485, 207
143, 0.7948, 175
144, 0.3153, 78
145, 0.5279, 195
146, 0.9461, 249
147, 0.0682, 254
148, 0.8767, 195
149, 0.7986, 238
150, 0.5640, 296
151, 0.4206, 248
152, 0.6950, 295
153, 0.7455, 59
154, 0.3676, 66
155, 0.1259, 331
156, 0.4697, 189
157, 0.2760, 74
158, 0.5456, 69
159, 0.1179, 209
160, 0.1147, 37
161, 0.2841, 336
162, 0.0248, 156
163, 0.8784, 274
164, 0.5500, 322
165, 0.4894, 271
166, 0.4404, 234
167, 0.2392, 357
168, 0.0059, 140
169, 0.7398, 64
170, 0.9545, 85
171, 0.1371, 70
172, 0.3988, 237
173, 0.0303, 2
174, 0.7676, 135
175, 0.9456, 133
176, 0.1188, 213
177, 0.1383, 257
178, 0.4937, 244
179, 0.3238, 172
180, 0.3331, 153
181, 0.9538, 170
182, 0.5455, 184
183, 0.9057, 334
184, 0.3224, 252
185, 0.9222, 127
186, 0.5473, 298
187, 0.8423, 293
188, 0.9965, 111
189, 0.9670, 139
190, 0.1914, 194
191, 0.6545, 166
192, 0.5332, 215
193, 0.6461, 233
194, 0.3002, 315
195, 0.5535, 306
196, 0.8096, 363
197, 0.1139, 20
198, 0.1802, 44
199, 0.6169, 177
200, 0.6758, 218
201, 0.2684, 217
202, 0.5597, 360
203, 0.5205, 218
204, 0.9571, 278
205, 0.7351, 149
206, 0.8667, 358
207, 0.9910, 338
208, 0.3473, 263
209, 0.5104, 14
210, 0.5094, 214
211, 0.8470, 166
212, 0.5954, 100
213, 0.1975, 18
214, 0.6265, 301
215, 0.2737, 35
216, 0.3220, 48
217, 0.9280, 7
218, 0.2714, 251
219, 0.7082, 245
220, 0.4125, 227
221, 0.2750, 183
222, 0.0372, 45
223, 0.5759, 152
224, 0.0383, 316
225, 0.0436, 253
226, 0.4389, 124
227, 0.5689, 145
228, 0.5863, 83
229, 0.7975, 99
230, 0.2610, 183
231, 0.5510, 214
232, 0.4054, 133
233, 0.3941, 63
234, 0.9043, 297
235, 0.3561, 235
236, 0.3372, 79
237, 0.5664, 111
238, 0.7068, 223
239, 0.8912, 317
240, 0.2866, 251
241, 0.2583, 31
242, 0.9244, 301
243, 0.8415, 45
244, 0.2081, 287
245, 0.5924, 268
246, 0.6486, 137
247, 0.1156, 230
248, 0.4046, 365
249, 0.0830, 206
250, 0.8494, 178
251, 0.7538, 26
252, 0.8481, 351
253, 0.7575, 11
254, 0.8148, 96
255, 0.5803, 19
256, 0.1875, 8
257, 0.4569, 66
258, 0.8319, 240
259, 0.2675, 29
260, 0.1376, 285
261, 0.0166, 36
262, 0.2977, 140
263, 0.2439, 76
264, 0.3713, 81
265, 0.2293, 209
266, 0.3069, 130
267, 0.8829, 149
268, 0.7071, 318
269, 0.0494, 11
270, 0.6220, 109
271, 0.2728, 158
272, 0.1680, 68
273, 0.7371, 174
274, 0.2285, 347
275, 0.6931, 112
276, 0.9758, 2
277, 0.8417, 256
278, 0.6999, 123
279, 0.3333, 65
280, 0.5804, 162
281, 0.3591, 231
282, 0.3709, 290
283, 0.6098, 292
284, 0.1363, 305
285, 0.3232, 266
286, 0.1952, 140
287, 0.9968, 203
288, 0.8417, 63
289, 0.3226, 242
